linkedin_id,company_name,mean,std,q10,q50,q90,n_employees,headcount_ratio,headcount_mismatch
q_agency,Q agency,2.392578125,1.7672651656645881,0.0,2.0,5.0,261,1.219626168224299,False
kyanon,Kyanon Digital,2.375,1.9299247070805639,0.0,2.0,5.0,294,1.3933649289099526,False
xomnia,Xomnia,2.2939453125,2.0440754855824865,0.0,2.0,5.0,91,1.2465753424657535,False
spatialedge,Spatialedge,2.2841796875,1.892703844427966,0.0,2.0,5.0,134,1.1166666666666667,False
brainpool-ltd,Brainpool AI,2.27734375,1.5281327885154279,0.0,2.0,4.0,24,1.411764705882353,False
vrizeinc,VRIZE,2.232421875,2.078226875733611,0.0,2.0,5.0,373,1.161993769470405,False
fiddler-ai,Fiddler AI,2.2236328125,1.5890826528766022,0.0,2.0,4.0,102,1.3246753246753247,False
recursive-ai,Recursive,2.1806640625,1.8015773114193563,0.0,2.0,5.0,52,1.1818181818181819,False
redmane-technology,RedMane Technology LLC,2.1767578125,1.867957303639517,0.0,2.0,5.0,351,1.202054794520548,False
closer,Closer Consulting,2.1748046875,2.0878438061138644,0.0,2.0,5.0,361,1.2448275862068965,False
coherent-solutions,Coherent Solutions,2.1455078125,2.124383949290115,0.0,2.0,5.0,1100,2.1782178217821784,False
numlabs,Numlabs,2.1201171875,1.831320813993848,0.0,2.0,5.0,32,1.5238095238095237,False
info-strategic,Info Strategic,2.111328125,1.4615209709696213,0.0,2.0,4.0,56,1.5135135135135136,False
thinkcol-limited,ThinkCol,2.056640625,1.4234074309907228,0.0,2.0,4.0,22,1.4666666666666666,False
imandra,Imandra,2.0537109375,1.748337910042813,0.0,2.0,4.0,22,1.1578947368421053,False
inferlink-corporation,InferLink,2.0146484375,1.6496863673979998,0.0,2.0,4.0,21,1.2352941176470589,False
ml-cube,ML cube,1.98828125,1.7150128048788549,0.0,2.0,4.0,25,1.3157894736842106,False
h.i.-iberia-ingenier-a-y-proyectos,HI Iberia,1.955078125,1.6676885650943596,0.0,2.0,4.0,118,1.0350877192982457,False
konverge-ai,Konverge.AI,1.9482421875,1.8419633387625323,0.0,2.0,4.0,142,0.9154929577464789,False
addepto,Addepto,1.8984375,1.612160059855643,0.0,2.0,4.0,68,1.3333333333333333,False
amai-gmbh,AMAI,1.888671875,1.5962934954399783,0.0,2.0,4.0,19,1.3571428571428572,False
enliteai,EnliteAI,1.841796875,1.306672738768294,0.0,2.0,4.0,17,1.7,False
indata-labs,InData Labs,1.7841796875,1.661049564345508,0.0,1.0,4.0,59,1.1132075471698113,False
eleks,ELEKS,1.73828125,1.9926278618694555,0.0,1.0,4.0,1900,1.1823273179838207,False
deepmetis,DeepMetis,1.6767578125,1.3813796729068424,0.0,1.0,3.0,13,1.8571428571428572,False
boltzbit,Boltzbit,1.6552734375,1.1789625352855508,0.0,2.0,3.0,11,1.5714285714285714,False
techahead,TechAhead,1.62109375,1.6767552530739056,0.0,1.0,4.0,310,1.103202846975089,False
edvantis,Edvantis,1.59765625,1.689880951971451,0.0,1.0,4.0,343,1.1951219512195121,False
cloud-temple,Cloud Temple,1.5966796875,1.6088223295394997,0.0,1.0,4.0,302,1.166023166023166,False
datarootlabs,DataRoot Labs,1.546875,1.5025206685350454,0.0,1.0,4.0,28,1.4,False
sahanasystemltd,Sahana System,1.4912109375,1.6423119001518474,0.0,1.0,4.0,158,1.1791044776119404,False
bigthinkcode,BigThinkCode Technologies,1.423828125,1.3954651000505116,0.0,1.0,3.0,51,1.2142857142857142,False
atmo-ai,Atmo,1.3955078125,1.3595794874708373,0.0,1.0,3.0,30,3.0,False
andro-computational-solutions-llc,ANDRO Computational Solutions,1.380859375,1.4345979006239378,0.0,1.0,3.0,41,1.2424242424242424,False
altrium-io,Altrium,1.31640625,1.4742199920503511,0.0,1.0,3.0,91,1.318840579710145,False
applied-data-science,Applied Data Science Partners,1.2958984375,1.4056744563322827,0.0,1.0,3.0,33,1.1379310344827587,False
galaxe-solutions,GalaxE.Solutions,1.2763671875,1.5552293609539847,0.0,1.0,3.0,1300,1.1722272317403066,False
megamax-services,Megamax Services,1.21484375,1.3253590223354341,0.0,1.0,3.0,210,1.75,False
markovate,Markovate Inc.,1.18359375,1.2935704793172027,0.0,1.0,3.0,57,1.3255813953488371,False
bigdata-republic,BigData Republic,1.1376953125,1.2261732905325933,0.0,1.0,3.0,23,1.4375,False
orobix-srl,Orobix,1.1357421875,1.2263910453165885,0.0,1.0,3.0,38,1.0857142857142856,False
neurosys,NeuroSYS,1.134765625,1.2173077779749701,0.0,1.0,3.0,52,1.4054054054054055,False
fs-studio,FS Studio,1.12890625,1.3364570901121133,0.0,1.0,3.0,64,2.782608695652174,False
strong-analytics,Strong Analytics,1.09765625,1.1302975855215907,0.0,1.0,3.0,9,1.8,False
xenonstack,XenonStack,1.095703125,1.3253172872430339,0.0,1.0,3.0,111,0.8648648648648649,False
closeloop-inc-,Closeloop Technologies,1.0947265625,1.2959565736771173,0.0,1.0,3.0,95,1.1585365853658536,False
qvik-oy,Qvik,1.05859375,1.2320921830207907,0.0,1.0,3.0,92,1.1794871794871795,False
avertra,Avertra,1.021484375,1.2513771100794753,0.0,1.0,3.0,207,1.1311475409836065,False
infer-solutions,Infer Solutions,0.9658203125,1.0669958699369002,0.0,1.0,2.0,20,1.3333333333333333,False
schafer-corporation,Schafer Corporation,0.9501953125,1.1543311615836365,0.0,1.0,2.0,176,1.5714285714285714,False
binariks,Binariks,0.9375,1.1734364597199116,0.0,1.0,3.0,203,1.1092896174863387,False
neural-magic,Neural Magic,0.923828125,1.0383555366342418,0.0,1.0,2.0,21,2.1,False
lbox-co-ltd,LBox Co,0.8857421875,1.0484511623259878,0.0,1.0,2.0,37,0.6756756756756757,False
guardians-infotech-llc,Guardians Infotech,0.837890625,1.0902129610938907,0.0,1.0,2.0,81,1.4210526315789473,False
