linkedin_id,ml_consensus_round,ml_lower80_round,ml_upper80_round
miracle-finland-oy,0,0,0
dain-protocol,0,0,3
spark-wave,0,0,2
5onenalytics,0,0,0
enliteai,1,1,2
hexafoldtech,0,0,0
lund&bendsen-as,0,0,0
projak-infotech-pvt-ltd,0,0,0
lexoro,1,1,1
pims-associates-limited,0,0,0
rotunda-solutions,1,1,2
nnaisense,4,2,6
deepneuronic,3,2,5
15213340,1,1,2
prioritytechnologies8,0,0,0
techno-pro-india,0,0,0
xpertdataworks,0,0,0
craftworks-gmbh,0,0,1
seedbox-ventures,1,1,1
aitil,0,0,0
68326,0,0,0
plantechdev,0,0,1
cybersift.io,0,0,1
pentadata,0,0,0
talentech-digital-llc,0,0,2
bds-chile,0,0,0
deepmetis,0,0,1
idalab-gmbh,1,0,2
nibgat,0,0,0
2118,1,1,1
latamdigi,0,0,0
ai-superior,1,1,3
saige-research,1,1,1
kineo-ai,1,1,2
irrevo,0,0,0
sharpware,0,0,1
sr-international-inc,0,0,0
overcode.tech,0,0,0
augur-it-consulting,0,0,0
gamax-laboratory-solutions,0,0,0
boltzbit,1,1,3
themoonshotfactory,0,0,1
analytics-town,0,0,0
intelligichain,0,0,1
cst-global-llc,0,0,0
kapahi-industries-private-limited,0,0,0
www-doublecheckconsulting-com,0,0,0
chi-squarex,3,1,4
1314,1,1,1
kmeleontech,1,1,2
1415,0,0,1
hyquest-consulting-solutions-llc,0,0,0
rbc-group,0,0,0
2049,0,0,0
strong-analytics,1,1,2
muons-technology,0,0,0
data-sleek,0,0,0
courart-inform-tica-ltda,0,0,0
thinking-machines-data-science,0,0,0
ignous,0,0,0
lukasa-llc,0,0,0
gefatec-sistemas-software-e-consultoria,0,0,0
1903,0,0,0
1856,0,0,0
digiwisehub,0,0,0
609,0,0,0
eigen-partners,0,0,0
qexpert,0,0,0
vertex-laboratories,0,0,0
one-logic-gmbh,0,0,0
springbok-ai,0,0,0
information-workers-group,0,0,0
toncent-information-technology-services-shenzhen-co--ltd,0,0,0
new-outcome,0,0,0
accordbgroup,1,0,4
genia-latinoam%C3%A9rica,0,0,2
pbq-oilfield-services,0,0,0
arena-technologies,0,0,0
tmltlabs,0,0,1
allogic-tecnologia,0,0,0
azati-corporation,1,0,1
taristechnologies,0,0,0
finolity,0,0,0
iinumbers,0,0,1
youneed-s.a.s,0,0,0
hydromind-group,0,0,1
it-consulting-gp,0,0,0
solid-software-solutions,0,0,0
flowplus-helping-you-work-smarter,0,0,0
tqcs,0,0,0
2142,0,0,0
jdsc,0,0,2
xaigi-technology-inc,1,0,3
aiqrate,0,0,0
q-noon,0,0,0
-.technology-sarl,0,0,0
evergopartners,0,0,0
sevn3-ai,0,0,0
airesearchcorp,0,0,1
amplient-labs,0,0,1
2331,0,0,0
elementai,0,0,0
1966,0,0,0
resileo-labs,0,0,0
makesai,0,0,1
data-cowboys-llc,0,0,0
2439,0,0,0
kantic-analytics,0,0,1
aiso-lab,0,0,1
2393,0,0,0
albitech-consulting-oy,0,0,0
linkup-studio,0,0,0
stowe-research-international-inc,0,0,0
inftech-gmbh,0,0,0
hubthunder,0,0,0
1396,0,0,0
aitnco,0,0,0
knowm-inc,0,0,0
genysolutions,0,0,0
ted-rpa-data,0,0,0
2691,0,0,0
developower-inc,0,0,0
2163,0,0,0
cantabpi,1,0,1
eoda-gmbh,0,0,0
tarahai,0,0,1
exvy,0,0,1
2319,0,0,0
alexander-thamm-gmbh,2,0,9
numericube,0,0,0
lipon-technologies,0,0,0
chapelhilltech,0,0,0
2470,0,0,0
211,0,0,0
2334,0,0,0
