linkedin_id,mean,q10,q50,q90
avertra,1.0029296875,0.0,1.0,3.0
neural-magic,0.9990234375,0.0,1.0,2.0
qvik-oy,0.9873046875,0.0,1.0,2.0
ai-consult,0.9404296875,0.0,1.0,2.0
infer-solutions,0.9267578125,0.0,1.0,2.0
schafer-corporation,0.91015625,0.0,1.0,2.0
lbox-co-ltd,0.896484375,0.0,1.0,2.0
guardians-infotech-llc,0.8837890625,0.0,1.0,2.0
binariks,0.865234375,0.0,1.0,2.0
fraktal-as,0.8603515625,0.0,1.0,2.0
xaion-data-inc,0.833984375,0.0,1.0,2.0
expos-data-exposed,0.810546875,0.0,0.0,2.0
mojotech,0.787109375,0.0,0.0,2.0
droidsagency,0.7333984375,0.0,0.0,2.0
jaam-automation,0.708984375,0.0,0.0,2.0
intinc,0.7080078125,0.0,0.0,2.0
grenoblepartners,0.6884765625,0.0,0.0,2.0
exposit,0.685546875,0.0,0.0,2.0
teamonegroup,0.671875,0.0,0.0,2.0
techsource-inc,0.6650390625,0.0,0.0,2.0
wearedragonfly,0.6416015625,0.0,0.0,2.0
hcube-conseil,0.630859375,0.0,0.0,2.0
launchpad-lab,0.625,0.0,0.0,2.0
vsdata,0.6142578125,0.0,0.0,2.0
monadical,0.6103515625,0.0,0.0,2.0
partnershipai,0.607421875,0.0,0.0,2.0
tagtoo,0.6025390625,0.0,0.0,2.0
chipside-limited,0.5908203125,0.0,0.0,2.0
searchmetrics-inc,0.5712890625,0.0,0.0,2.0
infopower-corporation,0.5703125,0.0,0.0,2.0
wednesday-solutions,0.5625,0.0,0.0,2.0
tensorleap,0.5458984375,0.0,0.0,2.0
siali,0.5458984375,0.0,0.0,2.0
intelliarts,0.5390625,0.0,0.0,2.0
dextra-digital,0.52734375,0.0,0.0,2.0
stme,0.525390625,0.0,0.0,2.0
3alica,0.5244140625,0.0,0.0,2.0
etalytics,0.515625,0.0,0.0,2.0
nuaig,0.51171875,0.0,0.0,2.0
netguru,0.5029296875,0.0,0.0,2.0
gox-ltd,0.4970703125,0.0,0.0,2.0
spark-wave,0.4912109375,0.0,0.0,2.0
theprobegroup,0.484375,0.0,0.0,2.0
ventagium,0.4775390625,0.0,0.0,1.0
bravinci,0.4775390625,0.0,0.0,1.0
digitalleague,0.46484375,0.0,0.0,1.0
rotunda-solutions,0.462890625,0.0,0.0,1.0
iceapple-technology-solutions,0.4580078125,0.0,0.0,1.0
ai-superior,0.447265625,0.0,0.0,1.0
