linkedin_id,company_name,mean,std,q10,q50,q90,n_employees
vrizeinc,VRIZE,2.2607421875,2.1133369819216514,0.0,2.0,5.0,373
brainpool-ltd,Brainpool AI,2.2587890625,1.4936129966060054,0.0,2.0,4.0,24
fiddler-ai,Fiddler AI,2.240234375,1.568395858853357,0.0,2.0,4.0,102
recursive-ai,Recursive,2.21484375,1.831989605070383,0.0,2.0,5.0,52
redmane-technology,RedMane Technology LLC,2.1884765625,1.9128022696787517,0.0,2.0,5.0,351
numlabs,Numlabs,2.1513671875,1.8660039622273956,0.0,2.0,5.0,32
info-strategic,Info Strategic,2.12109375,1.5229316067082388,0.0,2.0,4.0,56
closer,Closer Consulting,2.119140625,1.9718390556722953,0.0,2.0,5.0,361
imandra,Imandra,2.1181640625,1.806212734379175,0.0,2.0,5.0,22
coherent-solutions,Coherent Solutions,2.1142578125,2.104596865146082,0.0,2.0,5.0,1100
ml-cube,ML cube,2.0380859375,1.7341679629911129,0.0,2.0,4.7000000000000455,25
thinkcol-limited,ThinkCol,2.03125,1.430349061418226,0.0,2.0,4.0,22
h.i.-iberia-ingenier-a-y-proyectos,HI Iberia,2.01953125,1.7414998292487536,0.0,2.0,4.0,118
inferlink-corporation,InferLink,2.0068359375,1.6889323054694927,0.0,2.0,4.0,21
tech-valley-tvy,Tech Valley,1.9833984375,2.1809539943846956,0.0,1.0,5.0,2300
creatica-gmbh,Creatica,1.9794921875,1.9300687467358422,0.0,2.0,5.0,84
addepto,Addepto,1.96484375,1.7300013477121738,0.0,2.0,4.0,68
amai-gmbh,AMAI,1.8857421875,1.5735955531148131,0.0,2.0,4.0,19
konverge-ai,Konverge.AI,1.8759765625,1.8278576255963384,0.0,1.0,4.0,142
enliteai,EnliteAI,1.8232421875,1.2994164991334436,0.0,2.0,4.0,17
indata-labs,InData Labs,1.75,1.6600781231616781,0.0,1.0,4.0,59
eleks,ELEKS,1.71484375,1.931627788443192,0.0,1.0,4.0,1900
boltzbit,Boltzbit,1.7041015625,1.1764879099187797,0.0,2.0,3.0,11
cloud-temple,Cloud Temple,1.6845703125,1.6947518401652946,0.0,1.0,4.0,302
deepmetis,DeepMetis,1.6552734375,1.408439796230898,0.0,1.0,4.0,13
mi-6-ltd,MI-6,1.626953125,1.7222963679497016,0.0,1.0,4.0,130
edvantis,Edvantis,1.6201171875,1.6686521465743211,0.0,1.0,4.0,343
techahead,TechAhead,1.599609375,1.6062134734872913,0.0,1.0,4.0,310
datarootlabs,DataRoot Labs,1.5517578125,1.4847061590918302,0.0,1.0,4.0,28
kineo-ai,kineo.ai,1.5009765625,1.4516958776981093,0.0,1.0,4.0,12
sahanasystemltd,Sahana System,1.4990234375,1.5699817821636286,0.0,1.0,4.0,158
bigthinkcode,BigThinkCode Technologies,1.453125,1.4475700274511765,0.0,1.0,3.0,51
andro-computational-solutions-llc,ANDRO Computational Solutions,1.4091796875,1.375551633286589,0.0,1.0,3.0,41
kamtech-associates-pvt-ltd,KAMTECH,1.375,1.4510233457804875,0.0,1.0,3.0,296
altrium-io,Altrium,1.3720703125,1.5889146043938775,0.0,1.0,3.0,91
atmo-ai,Atmo,1.357421875,1.3438167111892472,0.0,1.0,3.0,30
applied-data-science,Applied Data Science Partners,1.27734375,1.3902683443623167,0.0,1.0,3.0,33
unique-micro-design-pty-ltd,UMD,1.212890625,1.4808642178765443,0.0,1.0,3.0,1300
galaxe-solutions,GalaxE.Solutions,1.20703125,1.5612837062889748,0.0,1.0,3.0,1300
markovate,Markovate Inc.,1.19140625,1.4136901702498104,0.0,1.0,3.0,57
megamax-services,Megamax Services,1.181640625,1.2801881437310725,0.0,1.0,3.0,210
strong-analytics,Strong Analytics,1.1796875,1.1646391189307312,0.0,1.0,3.0,9
software-systems-llc,Software Systems,1.1787109375,1.3347430326912635,0.0,1.0,3.0,264
bigdata-republic,BigData Republic,1.1572265625,1.2381021749211305,0.0,1.0,3.0,23
neurosys,NeuroSYS,1.1513671875,1.269972504445801,0.0,1.0,3.0,52
orobix-srl,Orobix,1.150390625,1.1400211773963278,0.0,1.0,3.0,38
fs-studio,FS Studio,1.111328125,1.2582961390642444,0.0,1.0,3.0,64
xenonstack,XenonStack,1.0986328125,1.2949111961050996,0.0,1.0,3.0,111
closeloop-inc-,Closeloop Technologies,1.0673828125,1.3478681757054694,0.0,1.0,3.0,95
pyramid-cgi,Pyramid Consulting Group,1.05078125,1.2220945195231168,0.0,1.0,3.0,226
avertra,Avertra,1.0029296875,1.1503189142282033,0.0,1.0,3.0,207
neural-magic,Neural Magic,0.9990234375,1.0901722840109647,0.0,1.0,2.0,21
qvik-oy,Qvik,0.9873046875,1.1253623378896804,0.0,1.0,2.0,92
ai-consult,AI Consult,0.9404296875,1.1072233583919064,0.0,1.0,2.0,203
infer-solutions,Infer Solutions,0.9267578125,1.0604331164529968,0.0,1.0,2.0,20
schafer-corporation,Schafer Corporation,0.91015625,1.1073857054278502,0.0,1.0,2.0,176
lbox-co-ltd,LBox Co,0.896484375,1.0546712238327447,0.0,1.0,2.0,37
guardians-infotech-llc,Guardians Infotech,0.8837890625,1.1571664013897789,0.0,1.0,2.0,81
binariks,Binariks,0.865234375,1.1470931092628702,0.0,1.0,2.0,203
fraktal-as,Fraktal Norge,0.8603515625,1.0574467487319674,0.0,1.0,2.0,52
xaion-data-inc,Xaion Data,0.833984375,1.0949891836250527,0.0,1.0,2.0,80
expos-data-exposed,Exposé,0.810546875,1.064908159621164,0.0,0.0,2.0,61
mojotech,MojoTech,0.787109375,1.050292855249006,0.0,0.0,2.0,80
droidsagency,Droids Agency,0.7333984375,1.0242269252331528,0.0,0.0,2.0,26
jaam-automation,Jaam Automation,0.708984375,0.8834841713386038,0.0,0.0,2.0,26
intinc,INT,0.7080078125,0.9466709433266476,0.0,0.0,2.0,140
grenoblepartners,Grenoble Partners,0.6884765625,0.8913779840158627,0.0,0.0,2.0,21
exposit,Exposit,0.685546875,0.9574676141665234,0.0,0.0,2.0,66
teamonegroup,TeamOne Group,0.671875,0.9331932326024445,0.0,0.0,2.0,71
techsource-inc,TechSource,0.6650390625,0.9520272358756976,0.0,0.0,2.0,165
wearedragonfly,Dragonfly,0.6416015625,0.8879992947618588,0.0,0.0,2.0,134
hcube-conseil,Hcube Conseil,0.630859375,0.8972967452156557,0.0,0.0,2.0,140
launchpad-lab,LaunchPad Lab,0.625,0.9217425752345391,0.0,0.0,2.0,59
vsdata,VS Data,0.6142578125,0.9336545278006821,0.0,0.0,2.0,64
monadical,Monadical,0.6103515625,0.8657605226930878,0.0,0.0,2.0,23
partnershipai,Partnership on AI,0.607421875,0.8762176760209099,0.0,0.0,2.0,61
tagtoo,Tagtoo Technology,0.6025390625,0.8823538069627291,0.0,0.0,2.0,56
chipside-limited,Chipside,0.5908203125,0.8498355257562503,0.0,0.0,2.0,27
searchmetrics-inc,Searchmetrics,0.5712890625,0.8676003512953825,0.0,0.0,2.0,50
infopower-corporation,InfoPower,0.5703125,0.8777509768401002,0.0,0.0,2.0,112
wednesday-solutions,Wednesday Solutions,0.5625,0.8535312677342289,0.0,0.0,2.0,55
tensorleap,Tensorleap,0.5458984375,0.7755056147024718,0.0,0.0,2.0,19
siali,Siali,0.5458984375,0.8171996135798515,0.0,0.0,2.0,31
intelliarts,Intelliarts,0.5390625,0.805521412560678,0.0,0.0,2.0,113
dextra-digital,Dextra,0.52734375,0.8120397584699517,0.0,0.0,2.0,109
stme,STME,0.525390625,0.8287673474275572,0.0,0.0,2.0,109
3alica,3Alica,0.5244140625,0.8060983677890968,0.0,0.0,2.0,57
etalytics,etalytics,0.515625,0.7829668635229718,0.0,0.0,2.0,51
nuaig,NuAIg AI Consulting,0.51171875,0.7780304755589189,0.0,0.0,2.0,29
netguru,Netguru,0.5029296875,0.843166007931506,0.0,0.0,2.0,380
gox-ltd,GOX,0.4970703125,0.7917982962416327,0.0,0.0,2.0,103
spark-wave,Spark Wave,0.4912109375,0.7855636526599045,0.0,0.0,2.0,18
theprobegroup,Probe Group,0.484375,0.766581035752255,0.0,0.0,2.0,107
ventagium,Ventagium Data Consulting,0.4775390625,0.7939489160434827,0.0,0.0,1.0,38
bravinci,Bravinci,0.4775390625,0.7676843467771249,0.0,0.0,1.0,26
digitalleague,League of Digital Economy,0.46484375,0.7823332334024533,0.0,0.0,1.0,560
rotunda-solutions,Rotunda Solutions,0.462890625,0.7171107963816395,0.0,0.0,1.0,16
iceapple-technology-solutions,IceApple Technology Solutions,0.4580078125,0.7289991640523087,0.0,0.0,1.0,24
ai-superior,AI Superior,0.447265625,0.6854745332201331,0.0,0.0,1.0,12
hacksoft,HackSoft,0.4462890625,0.7519803921598429,0.0,0.0,1.0,46
tapptitude,Tapptitude,0.4453125,0.7118812417417318,0.0,0.0,1.0,45
idalab-gmbh,idalab,0.431640625,0.675473534529377,0.0,0.0,1.0,13
digitalstrategyinnovation,Digital Strategy Innovation,0.4208984375,0.6970871127843768,0.0,0.0,1.0,22
hydromind-group,HydroMind,0.4150390625,0.6529742637341238,0.0,0.0,1.0,4
objetivasolucao,Objetiva Solução,0.390625,0.6656690126293998,0.0,0.0,1.0,42
archiot-digital-solutions-pvt-ltd,Archiot,0.380859375,0.6639906900511553,0.0,0.0,1.0,38
pitt-technology-group,Pitt Technology Group,0.37890625,0.6896163271783358,0.0,0.0,1.0,34
