annotator,sensitivity,specificity,accuracy,bias,n_positive,n_negative,n_total
filter_broad_yes,0.5620915032679739,0.9097222222222222,0.8188034188034188,-0.04786324786324789,153,432,585
filter_broad_yes_strict_no,0.3006535947712418,0.9814814814814815,0.8034188034188035,-0.16923076923076927,153,432,585
filter_strict_no,0.4117647058823529,0.8912037037037037,0.7658119658119659,-0.07350427350427352,153,432,585
llm_gemini-2.5-flash,0.7124183006535948,0.8287037037037037,0.7982905982905983,0.051282051282051266,153,432,585
llm_gpt-5-mini,0.7254901960784313,0.8680555555555556,0.8307692307692308,0.025641025641025605,153,432,585
llm_sonnet-4,0.5882352941176471,0.9745370370370371,0.8735042735042735,-0.08888888888888896,153,432,585
correlated_probit,0.7908496732026143,0.9259259259259259,0.8905982905982905,0.0,153,432,585
